Référence,Description,Domaine 1,Domaine 2,Domaine 3,Civilisation,Période,Date précise début,Date précise fin,Pays de découverte,Site/Lieu de découverte,Lieu de production,Référence de l'objet,Type de document,Auteur du document,Année du document,Latitude,Longitude,Altitude,Précision
IAS-COL-68102,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Fondations de murs sous la grande cour[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Fondations,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LI, n°4, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68103,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Fondations de murs sous la grande cour[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Elément architectonique,Fondations,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LI, n°4, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68104,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Fondations de murs sous la grande cour[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Fondations,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LI, n°4, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68105,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Fondations de murs sous la grande cour[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Fondations,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans:  COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LI, n°4, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68106,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Porte et bâtiments nord[/t].
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68107,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn[/t]. Photographie de fouille[/t]. 
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,,,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68108,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Sondage sur la cour rhodienne[/t].
[nl] [7.1 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Cour,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-68109,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bassin arabe sur un puits antique[/t].
[nl] [7.5 x 10.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Bassin,Romaine,Haut-Empire,131,131,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-68110,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord et portique R 4[/t].
[nl] [9 x 8.8 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-68111,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Dégagement du portique S 4[/t].
[nl] [8.7 x 8.6 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-69213,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [8.5 x 8.9 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69214,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation sous la rue V 3[/t].
[nl] [8.8 x 8.9 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69215,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [11.5 x 7.9 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69216,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisations entre les autels[/t].
[nl] [8.8 x 8.9 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69218,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation à l'angle sud de la grande cour[/t].
[nl] [8.6 x 8.8 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69219,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69220,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5] 
[nl] (Photo en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69221,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69222,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation à l'angle sud de la grande cour[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVI, n°6, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69224,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation sous la rue V 3[/t].
[nl] [8.9 x 8.8 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69225,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69226,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVII, n°2, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69227,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVII, n°3 et 5, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69228,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVII, n°4 et 6, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69230,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVII, n°1, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69231,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69232,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Tuyaux de canalisation[/t]. 
[nl] [10.3 x 7.3 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69233,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation creusée dans la pierre[/t].
[nl] [7 x 10.2 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69235,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Angle de l'avant-cour des bâtiments nord (point A)[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. L, n°5, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69236,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation à l'angle sud de la grande cour[/t].
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69237,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [6.5 x 7.8 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVII, n°3, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69238,"[t] Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69241,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Tuyaux de canalisation[/t]. 
[nl] [10.3 x 7.4 cm] 
[nl] (Photographie en noir et blanc) 

",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69243,"[t]Palmyre/[i]Tadmor [/i], sanctuaire de Baalshamîn. Canalisation sous la rue V 4[/t].
[nl] [9 x 9 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69244,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation à l'angle sud de la grande cour[/t].
[nl] [8.7 x 8.8 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69245,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Canalisation à l'angle sud de la grande cour[/t].
[nl] [7.7 x 10.5 cm]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVI, n°5, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69246,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69247,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [7.5 x 10.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69248,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Articulations et jointures de canalisations[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Canalisation,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LVII, n°4, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69249,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Caveau funéraire derrière le temple[/t]. 
[nl][11.9 x 8.7 cm] 
[nl](Photographie en noir et blanc) [nl] (photo non publiée) ",IMMOBILIER,Structure architecturale,Tombe/Tombeau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: FELLMANN Rudolf, Le Sanctuaire de Baalshamîn à Palmyre. Volume V : Die Grabanlage, Rome, Institut suisse de Rome, 1975, Tafel 2, n°2, Bibliotheca Helvetica Romana, 10.",Photographie,Rudolf Fellmann,1954-1956,34.553264,38.269978,,Bâtiment
IAS-COL-69250,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Tombe derrière le sanctuaire[/t]. 
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Tombe/Tombeau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,Rudolf Fellmann,1954-1956,34.553264,38.269978,,Bâtiment
IAS-COL-69251,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Tombe derrière le sanctuaire, squelette[/t]. 
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Tombe/Tombeau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,Rudolf Fellmann,1954-1956,34.553264,38.269978,,Bâtiment
IAS-COL-69252,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. [i]Loculus[/i] avec squelette[/t]. 
[nl] [10.5 x 7.5 cm] 
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Tombe/Tombeau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,Rudolf Fellmann,1954-1956,34.553264,38.269978,,Bâtiment
IAS-COL-69253,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Tombe derrière le sanctuaire[/t]. 
[nl] [7.5 x 10.5 cm] 
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Tombe/Tombeau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,Rudolf Fellmann,1954-1956,34.553264,38.269978,,Bâtiment
IAS-COL-69254,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn[/t]. 
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) 

",IMMOBILIER,Elément architectonique,Colonne,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69255,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Photographie de la fouille[/t].",IMMOBILIER,Elément architectonique,Mur,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69256,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Colonne du portique C 5 et murs adjacents[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Colonne,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LV, n°2, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-69257,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Colonne du portique C 5 et murs adjacents[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) 







",IMMOBILIER,Elément architectonique,Colonne,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LV, n°2, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69258,"[t]Palmyre/[i]Tadmor [/i]. Maison byzantine sur la rue V 3[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Rue,Romaine,Protobyzantine,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LV, n°5, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69259,"[t]Palmyre/[i]Tadmor [/i], sanctuaire de Baalshamîn. Péribole au nord du tombeau[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Péribole,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69260,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Photographie de la fouille[/t].",IMMOBILIER,Elément architectonique,Mur,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69261,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Photographie de la fouille[/t].",IMMOBILIER,Elément architectonique,Mur,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69262,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Porte et bâtiments nord[/t].
[nl] [12.6 x 9 cm]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69265,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord et portique R 4[/t].
[nl] [12.7 x 12.8 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-69266,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Fond de la [i]cella[/i] A[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Cella,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIX, n°5, Bibliotheca Helvetica Romana, 10.",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-69267,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord[/t].
[nl] [8.9 x 8.8 cm]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
IAS-COL-69268,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Photographie de la fouille[/t].",IMMOBILIER,Elément architectonique,Mur,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-69270,"[t]Palmyre/[i]Tadmor [/i], sanctuaire de Baalshamîn. Encoignure contre le massif du tombeau (point B)[/t].
[nl] [10.5 x 7.5 cm]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Tombe/Tombeau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,
