,accession_credit_line,creator,culture,culture_area,curatorial_section,date_made,date_made_early,date_made_late,description,emuIRN,iconography,image_url,manufacture_locationlocus,material,measurement_height,measurement_length,measurement_outside_diameter,measurement_tickness,measurement_unit,measurement_width,native_name,object_name,object_number,other_numbers,period,provenience,technique,url
1576,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,eyes pierced,337231,Grotesque Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264778.jpg""",,Terracotta,,11.4,,,cm,,,Figurine,29-71-485,M4854,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/337231
1577,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Black-red ware.,184279,Bes Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264784.jpg""",,Terracotta,,8.0,,,cm,,,Figurine,29-71-487,M4860,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/184279
1578,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Terra cotta.,177817,Human Head?,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/228564.jpg""",,Terracotta,,4.7,,,cm,,,Figurine,29-71-494,M5543,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/177817
1579,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Tall headdress with traces of red,312496,Bes Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219811.jpg""",,Terracotta,,7.7,,,cm,,,Figurine,29-71-525,M9029,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/312496
1580,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red pottery. Male.,296626,Male Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264782.jpg""",,Terracotta,,7.4,,,cm,,,Figurine,29-71-531,M9511,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/296626
1581,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Crude. Red black ware. Traces of red on left ear and leeft side of neck. Hole down through head,1423,Male Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264800.jpg""",,Terracotta,,4.3,,,cm,,,Figurine,29-71-534,M9878,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/1423
1582,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,"Red ware. Crude, heavy roll wig",113202,Human Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264798.jpg""",,Terracotta,5.9,,,,cm,,,Figurine,29-71-539,M10176,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/113202
1583,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,"Foreign type, youthful; modeled; solid; front part of cap (or wig?) broken away above forehead. Features long, slender, oval: forehead high; brows straight; lips parted",238729,Male Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264797.jpg""",,Terracotta,8.6,,,,cm,,,Figurine,29-71-544,M11423,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/238729
1584,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red ware. Lower part of face gone. Yellowish surface with traces of red and black paint.,6175,Male Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/230018.jpg""",,Terracotta,,7.3,,,cm,,,Figurine,29-71-558,M12101,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/6175
1585,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red ware. Crude,137828,Bes Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219827.jpg""",,Terracotta,7.3,,,,cm,,,Figurine,29-71-561,M12337,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/137828
1586,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red black ware. Grotesque; solid modeled,266212,Male Head|Grotesque,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219831.jpg""",,Terracotta,4.4,,,,cm,,,Figurine,29-71-564,M12588,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/266212
1587,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Black ware. Upper part,289118,Bes,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219828.jpg""",,Terracotta,,6.0,,,cm,,,Figurine,29-71-584,M287,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/289118
1588,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red-black ware. Torse of seated figurine. Phallic,251060,Seated Male|Phallic Figure,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/229435.jpg""",,Terracotta,,9.7,,,cm,,,Figurine Fragment,29-71-646,M1262,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/251060
1589,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Oval shaped,167385,Bes,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219144.jpg""",,Terracotta,,11.4,,,cm,,,Figurine,29-71-700,M3558,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/167385
1590,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red-black ware. Head and shoulders of Bes. Back flat,50232,Bes,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219155.jpg""",,Terracotta,,11.3,,,cm,,,Figurine Fragment,29-71-748,M6619,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/50232
1591,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red ware. On couch; legs missing,165205,Woman|Couch,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/266965.jpg""",,Terracotta,,11.4,,,cm,,,Figurine,29-71-758,M7135,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/165205
1592,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Red-black ware. seated Silneus. Solid,14377,Seated Silenus,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219175.jpg""",,Terracotta,,8.6,,,cm,,,Figurine,29-71-762,M7342,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/14377
1593,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,"Red ware. traces of black horizontal bands on ""Klaft"": crudely modeled",135235,Sphinx,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/165917.jpg""",,Terracotta,6.6,10.0,,,cm,,,Figurine,29-71-890,M12289,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/135235
1594,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,Roman,,Egyptian,,,,"Brownish ware, surface badly defaced. Remains of loop pattern on rim, raised rim around filling hole, rope pattern on shoulder. Rounded nozzle with projecting corners, blackened",145016,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/219754.jpg""",,Ceramic,,0.073,,,m,,,Lamp,29-71-946,M8451,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/145016
1595,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Brown-black ware,496890,Bes Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264789.jpg""",,Terracotta,,,,,,,,Figurine,29-71-490A,M5458,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/496890
1596,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Brown-black ware,496892,Bes Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/264763.jpg""",,Terracotta,,,,,,,,Figurine,29-71-490C,M5458,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/496892
1597,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Lower part phallic ape (?) colored red,236917,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/56437.jpg""",,Limestone,,11.0,,,cm,,,Statuette,29-75-402,M174,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/236917
1598,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Legs of female; traces of red color. Broken into 2 pieces. Very powdery.,124219,Woman,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/211670.jpg""",,Limestone,,6.3,,,cm,,,Statuette Fragment,29-75-420,M1006,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/124219
1599,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Phallic,194602,Phallic Figure,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/56553.jpg""",,Limestone,,6.8,,,cm,,,Statuette,29-75-466,M5587,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/194602
1600,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,"Phallic youth seated on ground (head missing), traces of red color. He holds an indistinguishable object at his breast with both hands",319504,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/65016.jpg""",,Limestone|Pigment,,5.4,,3.4,cm,,,Statuette,29-75-529,M11815,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/319504
1601,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Cylinder,126640,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/440336.jpg""",,Gold,,,,,m,,,Bead,29-85-860,M6253,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/126640
1602,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Painted. Showing various deities and inscription in red and green.,36222,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/258841.jpg""",,Wood|Pigment,,,,,cm,11.4,,Coffin,29-86-425,194|T1,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/36222
1603,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Finely made and decorated in delicately drawn design on white stucco ground. End of necklace with gilded hawk head.,203405,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/258875.jpg""",,Stucco|Pigment|Wood,,23.5,,,cm,,,Coffin,29-86-428,1713,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/203405
1604,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Olive green and red decorations; yellow varnish.,126632,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/258862.jpg""",,Linen|Plaster|Pigment,,22.5,,,cm,,,Cartonnage,29-86-431,829|T156X,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/126632
1605,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Nude Female figure on bed; red colored. (Upper part found next day and joined.),275013,Woman|Bed,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/266989.jpg""",,Terracotta,,10.5,,,cm,,,Figurine,29-86-583,1418,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/275013
1606,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,"Human head with Nubian features and hairstyle. Pottery, brown ware. Small.",253361,Human Head|Nubian,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/258961.jpg""",,Terracotta,2.9,,,,cm,,,Figurine,29-86-596,1643,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/253361
1607,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Canopic. Inscription and two figures of gods.,63792,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/258816.jpg""",,Wood|Pigment,,11.8,,,cm,20.0,,Box Fragment,29-86-424A,151,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/63792
1608,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,"fragment with delicately drawn flowers, decoration in relief and gilded.",194424,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/258804.jpg""",,Linen|Plaster|Pigment,,,,,,,,Cartonnage,29-86-433A,1718A,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/194424
1609,"The Eckley B. Coxe Jr. Expedition to Nubia, Buhen; D. Randall-MacIver and C. L. Wooley, 1910",,Mycenean,,Egyptian,1539-1075 BC,-1540,-1074,Mycenean type. Brown design.,245987,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275475.jpg""",,Ceramic|Paint,,,,,,,,Jug,E10558,,New Kingdom,Sudan|Nubia|Buhen,,http://www.penn.museum/collections/object/245987
1610,"The Eckley B. Coxe Jr. Expedition to Nubia, Buhen; D. Randall-MacIver and C. L. Wooley, 1910",,,,Egyptian,1500 BC,-1500,-1500,Cup with one handle and tall broad neck.  The vessel is decorated around the neck with a scene of  2 antelopes with a tree in between.  The body of the vessel is decorated with alternating vertical stripes with geometric patterns.,217996,Antelope|Tree,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/85194.jpg""",,Ceramic|Paint,,,,,,,,Cup,E10563,,New Kingdom|Eighteenth Dynasty,Sudan|Nubia|Buhen,Painted,http://www.penn.museum/collections/object/217996
1611,"The Eckley B. Coxe Jr. Expedition to Nubia, Buhen; D. Randall-MacIver and C. L. Wooley, 1910",,Classic Kerma,,Egyptian,,,,Black-topped red polished bowl.,97932,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/118355.jpg""",,Ceramic,7.5,,18.4,,cm,,,Bowl,E10615,,,Sudan|Nubia|Buhen,,http://www.penn.museum/collections/object/97932
1612,"The Eckley B. Coxe Jr. Expedition to Nubia, Buhen; D. Randall-MacIver and C. L. Wooley, 1910",,,,Egyptian,1938BC-1759BC,-1938,-1759,Lid bound in gold,484638,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/206328.jpg""",,Gold|Obsidian,,,,,,,,Kohl Pot Lid,E10897B,,Middle Kingdom|Twelfth Dynasty,Sudan|Nubia|Buhen,,http://www.penn.museum/collections/object/484638
1613,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Light pink clay. Buff surface, dark red bands. Type XI A.",101020,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215312.jpg""",,Ceramic|Paint,,,,,,,,Pot,E11230,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/101020
1614,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Mud colored clay. Light cream slip with black bands. Surface decayed. Type X.,153205,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215723.jpg""",,Ceramic|Paint,,,,,,,,Pot,E11238,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/153205
1615,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,1539-1292 BC,-1540,-1291,Cream-white slip with chocolate bands. Type X.,183407,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215732.jpg""",,Ceramic|Paint,,,,,,,,Jar,E11240,,Eighteenth Dynasty|New Kingdom,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/183407
1616,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Light drab clay.  Cream slip.  One handle.  Type XVI B.,334895,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215746.jpg""",,Ceramic,,,,,,,,Jug,E11244,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/334895
1617,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Red clay. Red wash. Type XXV.,326613,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215766.jpg""",,Ceramic,,,,,,,,Jar,E11252A,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/326613
1618,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Rough mud-colored clay. Coarse white slip. Type XXVIII.,336752,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215771.jpg""",,Ceramic,,,,,,,,Jar Stand,E11253,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/336752
1619,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Creamy drab surface. Two triple chocolate bands. Type XI A.,287146,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215774.jpg""",,Ceramic|Paint,,,,,,,,Pot,E11255,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/287146
1620,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Red clay. Creamy white slip. Type XL.,218215,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215808.jpg""",,Ceramic,,,,,,,,Jug,E11259,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/218215
1621,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,1980 - 1630 BC,-1981,-1629,Mud colored clay. Traces of white paint. Type XXIX.,105246,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215832.jpg""",,Ceramic,,,,,,,,Incense Burner,E11263,,Middle Kingdom,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/105246
1622,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Orange red clay. Red wash, black bands. Type X.",32653,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215848.jpg""",,Ceramic|Paint,,,,,,,,Pot,E11270,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/32653
1623,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Mud colored clay. Deep red wash. Two double black bands. Type XIB.,201999,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215928.jpg""",,Ceramic|Paint,,,,,,,,Pot,E11280,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/201999
1624,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Black clay. Brown in section. Unburnished. Type XVI.,332879,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215939.jpg""",,Ceramic,,,,,,,,Jug,E11286,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/332879
1625,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Brown clay. Red wash. Handle broken off. Type XVI.,19001,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/215948.jpg""",,Ceramic,,,,,,,,Jug,E11289,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/19001
1626,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Pinkish drab. Concentric rings in chocolate.,228291,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216112.jpg""",,Ceramic|Paint,,,,,,,,Flask,E11292,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/228291
1627,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Creamy white clay with smooth natural surface. Type XVI. Tell-el Y type but flat-footed.,148871,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216189.jpg""",,Ceramic,,,,,,,,Jug,E11296,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/148871
1628,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Red wash, burnished. Type XI B.",50559,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216212.jpg""",,Ceramic,,,,,,,,Pot,E11301,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/50559
1629,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Red clay. Red wash inside, slightly burnished. Type XXI.",148872,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216236.jpg""",,Ceramic,,,,,,,,Dish,E11306,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/148872
1630,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Reddish clay. Red wash, dabs of white paint inside. Type XX.",342758,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216241.jpg""",,Ceramic|Paint,,,,,,,,Dish,E11308,,,Egypt|Nubia|Aniba,Painted,http://www.penn.museum/collections/object/342758
1631,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Red clay. Conical. Red wash outside. Hole in bottom.,269104,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216251.jpg""",,Ceramic,,,,,,,,Cup,E11310,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/269104
1632,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Red clay. Plain. Type XXXVI.,90911,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216863.jpg""",,Ceramic,,,,,,,,Bowl,E11319,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/90911
1633,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Fragment of a bowl of hand made ware, black inside and in section, gray towards face; red wash on outside: on walls, a close-set pattern of rows of hatched inverted triangles and on base, a geometrical weave-pattern, all incised with white filling.",314341,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/216876.jpg""",,Ceramic,,,,,,,,Bowl,E11323,,,Egypt|Nubia|Aniba,Incised,http://www.penn.museum/collections/object/314341
1634,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Mud colored clay. Red wash. Vertical pebble burnishing. Type XXXVI.,159983,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/217195.jpg""",,Ceramic,,,,,,,,Bowl,E11327,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/159983
1635,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Reddish mud colored clay. Red painted rim. Type XXXVI.,258168,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/217199.jpg""",,Ceramic|Paint,,,,,,,,Bowl,E11329,,,Egypt|Nubia|Aniba,Painted,http://www.penn.museum/collections/object/258168
1636,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Reddish mud colored clay. Red painted rim. Type XXXVI.,254296,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/217203.jpg""",,Ceramic|Paint,,,,,,,,Bowl,E11331,,,Egypt|Nubia|Aniba,Painted,http://www.penn.museum/collections/object/254296
1637,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,Red clay. Drab surface partly flared to pink. Type III A.,62444,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/217382.jpg""",,Ceramic,,,,,,,,Jar,E11333,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/62444
1638,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Plain greenish drab surface, slightly ribbed. Type I A. (Diminutive and squat variant.)",186318,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/217385.jpg""",,Ceramic,,,,,,,,Jar,E11335,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/186318
1639,"The Eckley B. Coxe Jr. Expedition to Nubia, Aniba; D. Randall-MacIver and C. L. Wooley, 1911",,,,Egyptian,,,,"Inscribed: ""Chieftan, hereditary prince, treasurer of the king of Lower Egypt, sole companion, whom the king made prominent in advance of the citizens, inasmuch as [he] was excellent-----"".",276825,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275523.jpg""",,Sandstone,,,,,,,,Door Frame,E11370,,,Egypt|Nubia|Aniba,,http://www.penn.museum/collections/object/276825
1640,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1903",,,,Egyptian,3000 - 2800 BC,-3001,-2799,Lion couchant. Left half of head missing.,239437,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/415914.jpg""",,Ivory,,,,,,,,Game Piece,E11520,AES3503,Egyptian Early Dynastic|First Dynasty,Egypt|Abydos,,http://www.penn.museum/collections/object/239437
