Title,Picture,Object type,Material,Dimensions in cm (Height x Length x Width),Diameter in cm,Inscription and particular characteristic,Excavation ID,Museum ID,Publication ID,Tiresias data base ID,Date,Description,Bibliography
Sculpture fragments of the lower part of a female body.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190503104219_COL_PHOTO_PLANCHES_DET_01_27_04_77745.png,Sculpture,Hard limestone,20 x 13 x 8,"","",185 ; 245,"Palmyra, No ID",150,77674 ; 77745 ; 78637,"",Two coupling fragments of the lower part of a female body. The legs are preserved from the thighs down and are draped with a cloth falling down to ground level. The folds are vertical on the front and diagonal on the left. Only the left foot is uncovered. It wears a thick shoe-sole and stands on a 2.2 cm thick broken plinth.,"Baalshamin IV, p. 118, pl. 31."
Sculpture fragment of a sheep.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190503131104_COL_PHOTO_PLANCHES_DET_01_27_05_78679.png,Sculpture,Hard limestone,15 x 27 x 9,"",Red paint can be seen on the animal and blue paint on the back plate.,192,"Palmyra, B 1877",38,77675 ; 78679,"","Sculpture fragment of a sheep. The fragment is broken on all sides but a sheep depicted in right-side view is easily identifiable. Only the upper half of the body is preserved. The animal has his front legs stretched and sits on his back legs. The eye is widely open, the ear is floppy and the muzzle as well as the top of the head are damaged. It is not sure if the animal had horns or not. Red paint can be seen on the sheep and blue paint on the back plate.","Baalshamin IV, p. 95, pl. 13."
Sculpture fragment of a foot on a plinth.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190503134503_COL_PHOTO_PLANCHES_DET_01_27_06_77747.png,Sculpture,Soft limestone,16.5 x 10 x 14,"","",187,"Palmyra, No ID",63,77672 ; 77747,"","Sculpture fragment of a foot on a plinth. The fragment is damaged on all sides and the foot is broken at ankle level. The fragment is substantially damaged, it is hardly possible to identify a human right foot wearing a small boot.
","Baalshamin IV, p. 100, pl. 19."
Sculpture fragment of three gods standing on an inscribed plinth.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190503142610_COL_PHOTO_PLANCHES_DET_01_27_08_78681.png,Sculpture,White marble veined with grey,18 x 22 x 7.5,"",Plinth with a two-line inscription.,164,"Palmyra, A 1285 OR 1286 ?",11,"77685 ; 78680, 78681",3rd century A.D.,"Sculpture fragment of three gods standing on an inscribed plinth. The fragment is cut by a diagonal crack, therefore the top and left parts are missing. The upper-right part of the surface is damaged and looks porous. The inferior body parts of three figures standing on an two-line inscribed plinth are identifiable. The god in the middle stands on a two-step podium and wears a robe falling down to ground-level. His robe is covered on the left by a coat falling to the knees. The upper part of the body is missing. On his left, a second god makes a sacrifice on an altar. He wears a folded cloth that allows us to see his boots. The upper part of the body is also missing. On the right of the scene, a third god steps on a snake wrapped around a tree. Only his bare feet and the lower section of his cloth are preserved.","Baalshamin I, p. 225sqq ; Baalshamin II, pl. 109 ; Baalshamin III, p. 70sq, pl. 15 ; Baalshamin IV, p. 87, pl. 6 ; Collart 1957, p. 85 ; Drijvers 1976, p. 18 ; Teixidor 1979, p. 102 ; Linant de Bellefonds 1981, p. 879 Aphlad 2 pl. 699 ; Augé 1994 B, p. 751 Sadrapha 8."
Sculpture fragment of a god wearing a radiant crown in a frame.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190509154135_COL_PHOTO_PLANCHES_DET_01_27_09_78682.png,Sculpture,Soft limestone,22 x 19 x 7,"","",91,"Palmyra, B 1845",5,78368; 78682,1st century A.D.,"Sculpture fragment of a god wearing a radiant crown in a frame. The fragment is broken on the top, the left and the bottom. It shows a divinity wearing a radiant crown. The surface area of the fragment is damaged, especially the face of the figure and the upper left corner of the frame. The lower right part of the fragment is entirely missing. Only the left half of a moon crescent on which the bust is placed is preserved. The god wears a coat that is folded over his left shoulder and vertically falls down to the half-moon. The coat covers a tunica which is decorated on the neckline with a pin. The facial characteristics are hardly discernible but the hair is voluminous. It covers both ears and falls down to chin-level. Each ray of the crown is decorated with two incised lines. One of the adjacent side of the fragment shows a second figure whose folds of coat and one leg only are preserved.","Baalshamin I, p. 221 ; Baalshamin II, pl. 107 ; Baalshamin IV, p. 85, pl. 5 ; Le Glay 1981, 299sq. Aglibol 9 pl. 2018."
Sculpture fragment of a headless draped male in a standing position. ,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510091844_COL_PHOTO_PLANCHES_DET_01_27_11_78683.png,Sculpture,Hard limestone,29 x 12.5 x 7.5,"","",25,"Palmyra, B 1827",87,77677; 77678; 78377; 78683,2nd century A.D.,"Sculpture fragment of a headless draped male in a standing position. The head is missing and the legs are broken from the knees down. The bodyweight is supported by the left leg, the right one is slightly flexed. The male figure wears a short-sleeves tunica which is folded at chest-level. A coat folded on the left shoulder diagonally covers the tunica on the chest and creates diagonal folds that fall down to the ground. The right arm is extended along the body, the hand holds a pottery. The left arm is crossed on the chest and holds an object, maybe laurel branches. The back of the statue seems to have been damaged by its pullout from a plate or a wall.","Baalshamin IV, p. 106, pl. 25."
Sculpture fragment of a god in a standing position holding a spear and wearing an armor.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510102232_COL_PHOTO_PLANCHES_DET_01_27_16_78688.png,Sculpture,Soft limestone,38 x 20 x 12,"","",72,"Damascus,  7453",9,78230; 78231; 78232; 78369; 78370; 78371; 78372; 78373; 78688; 78689; 78690; 79565; 79618; 79620; 79665,1st century A.D.,"Sculpture fragment of a god in a standing position holding a spear and wearing an armor. The bottom-left part of the rectangular-shaped fragment is broken. The faceless male deity is surrounded by a frame whose upper and left parts are broken. The face of the figure has been hammered, therefore all of its facial features are missing.The god is standing and is depicted in front-view. He raises a spear with his right forearm and holds a scorpion by his tail with his left hand positioned at waist-level. A second scorpion can be seen on his left shoulder. The male figure wears a long-sleeves tunica covered by an armor made of leather strips. The strips are larger on the lower part of the armor and are ornamented with hanging decorations. A coat is folded over the shoulders and is held back by a pin. A belt can be seen at the level of the waist of the statue. The scorpions have substantially different sizes, one has seven pair of legs and the other has five. The statue is broken from the knees down. ","Baalshamin I, p. 171, 175, 225, 227 ; Baalshamin II, pl. 108 ; Baalshamin IV, p. 86, pl. 5 ; Collart 1956, p. 209sqq. fig. 1 ; Collart 1957, p. 85 pl. 8 ; Morehart 1956-58, p.63 n.16 ; Zoudhi 1975, p. 83, pl. 2 ; Drijvers 1976, pl. 47 ; Augé 1994 B, p. 750 Shadrapha 2, pl. 547."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510114002_COL_PHOTO_PLANCHES_DET_01_27_20_78692.png,Sculpture,Hard limestone,34 x 20 x 22,"","",178,"Palmyra, B 1874",114,78692,"","Sculpture fragment of a priest's head. The fragment is broken from the neck down and is highly mutilated. The facial features are difficult to discern. The lower half of the face is damaged, only the left eye and the outlines of the ears are still remaining. The male figure wears a cylindrical headdress divided into two sections by two incised lines. It is decorated with a laurel crown which is ornamented in the middle with a headless draped bust. The top and the back of the fragment are less detailed.","Baalshamin IV, p. 111, pl. 28."
Sculpture fragment of a veiled female head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510131712_COL_PHOTO_PLANCHES_DET_01_27_21_78693.png,Sculpture,Hard limestone,23 x 29 x 22,"","",202,"Palmyra, B 1881",140,78693; 78706,"","Sculpture fragment of a veiled female head. The fragment is broken from the neck down, the face is substantially damaged. Both sides and the upper part of the head are better preserved. On her forehead, the female figure wears a tiara ornamented with vegetal decorations incised inside diamond-shaped frames. The tiara holds the voluminous hair that falls down to ear-level on both sides of the head. A large veil covers the back, the top and the sides of the head. On each rings hangs a circular earring. The back of the statue is not sculpted.","Baalshamin IV, p. 116, pl. 30."
Sculpture fragment of a female head with a headband.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510134226_COL_PHOTO_PLANCHES_DET_01_27_24_78696.png,Sculpture,Hard limestone,27 x 19 x 16,"","",206,"Palmyra, B 1882",136,78696 ; 78697; 78707; 79654; 79662,2nd century A.D.,"Sculpture fragment of a female head with a headband. The fragment is broken from the neck down. The upper part of the head, the chin and the tip of the nose are damaged. The female figure wears a headband divided into sections by incised vertical lines. On the left side of the head, curls of hair falling down on the shoulder are preserved. Four circular earrings ornamented with large pearls can be seen on the ear of the same side. The eyes are bulging and the eyelids are prominent. The iris and the pupil are depicted with two incised circles. Two curved wrinkles can be seen on the neck. The back of the head has not been sculpted.","Baalshamin IV, p. 115, pl. 30."
Sculpture fragment of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510142606_COL_PHOTO_PLANCHES_DET_01_27_26_78698.png,Sculpture,Soft limestone,19 x 18 x 17,"","",199,"Palmyra, No ID",110,78698,"","Sculpture fragment of a broken male head. The fragment is substantially damaged, only the upper half of the head remains. The lower part of the nose is broken and all the facial features taking place under the eyes are missing. The eyes are still easily discernible. Curls of hair are covering the head and the top of the forehead. The surface of the material is deteriorated.","Baalshamin IV, p. 110, pl. 27."
Sculpture fragment of a draped male in a standing position.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510145115_COL_PHOTO_PLANCHES_DET_01_27_27_78699.png,Sculpture,Soft limestone,33 x 28 x 16,"","",26,"Palmyra, B 1828",88,78153; 78157; 78380; 78699; 78708,"","Sculpture fragment of a draped male in a standing position. The statue is leaning against a draped backplate which is only preserved on the left side. The head is missing and the lower part of the legs are broken. The male figure wears a short-sleeves tunica covered by a coat folded on the left shoulder. On the same side, the coat creates deep vertical folds that are falling from the shoulder to the bottom of the fragment. The right arm is parallel to the body and holds an unidentified object. The left forearm is bent against the chest, the mutilated hand holds one of the folds of the coat. Palm branches can be seen alongside the drapery that covers the backplate.","Baalshamin IV, p. 106, pl. 25."
Sculpture fragments of a right leg and a mattress. ,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510155927_COL_PHOTO_PLANCHES_DET_01_27_28_78700.png,Sculpture,Soft limestone,26 x 36.5 x 16,"","",5,"Palmyra, B 1818",120,78254; 78294; 78700; 78702,"",Three connecting sculpture fragments of funerary stele. The reconstituted fragment is broken on the top and on the left side. Only the lower right part is preserved but with a broken corner. A vertical section of the frame that surrounds the scene can be seen on the right side of the fragment. The right foot and leg of a small figure wearing a slightly folded tunica can be seen alongside a mattress.The draped leg of a second figure lying on the mattress is discernible. ,"Baalshamin IV, p. 112, pl. 28."
Tessera decorated with two male figures.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190516152932_COL_PHOTO_PLANCHES_DET_01_12_32_77339.png,Tessera,Ceramic,"",2.5,Inscription in the middle of the reverse side.,Cér. 133,"",12,77339,"","The Tessera has a circular shape.
Obverse : The edges of the object are decorated with a festoon of leaves which ends with a medallion. A nearly erased inscription can be seen on the middle of the tessera.
Reverse : Two priests are pouring vine on an altar, a crescent can be seen above them. A large unidentified circular shape surrounded by acanthus leaves on both sides can be seen under the altar. An unidentified ornamentation is depicted on the middle of it. The edges are decorated with incised lines. ","Baalshamin VI, p. 115, pl. 2, n. 12."
Oil lamp with a rosette decoration.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190516170120_COL_PHOTO_PLANCHES_DET_01_14_33_78502.png,Oil lamp,Ceramic,"intact: 2,8 x 7,8 x -","5,9","",C. 50,"Palmyra, No ID",51,68095 ; 78502,"",Oil lamp with a rosette flower decoration and a broken rounded tip. The middle of the upper surface is surrounded by a ridge line containing an eleven-leaf rosette flower. Two incised lines between four points can be seen on the back of the object.,"Baalshamin VI, p. 43, pl. 5, n. 2-3."
Sculpture fragment of a decorated stele,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191004094607_COL_PHOTO_PLANCHES_DET_01_27_29_78701.png,Sculpture,Soft limestone,30 x 34 x 14,"","",171,"Palmyra, B1869",13,77707; 78169; 78170; 78701,1st century A.D.,Sculpture fragment of a decorated stele. The upper part of the fragment is broken by a straight diagonal cut. A mutilated bust can be seen on top of a pile of circular shaped vegetal motifs. The head of the bust is missing. The figure wears an armor covered by a coat folded on its left shoulder. Folds of cloth can also be seen on the chest.,"Baalshamin IV, p. 88, pl. 6."
Sculpture fragment of a male head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191004142815_COL_PHOTO_PLANCHES_DET_01_41_01_78367.png,Sculpture,Soft limestone,"19 x 18,5 x 17,5","","",61,"Palmyra, B 1939",108,78367,"","Sculpture fragment of a masculine head broken from the neck down. The upper part and the back of the head are missing. The left eye, the nose and the chin are mutilated. The right eye is wide open, the iris is depicted by a circular protuberance. Both ears are folded forward. The back of the head is less detailed. The beginning of a headdress can be seen on both sides of the head.","Baalshamin IV, p. 110, pl. 27."
Sculpture fragment of a hand with a ring.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191004153718_COL_PHOTO_PLANCHES_DET_01_41_08_78374.png,Sculpture,Hard limestone,25 x 17.5 x 15,"","",22,"Palmyra, B 1824",124,78123; 78374,"",Sculpture fragment of a left hand on a folded drapery. The fragment is broken on all sides. The little finger wears a ring. Leaf  motifs can be seen on the border of the fragment.,"Baalshamin IV, p. 113, pl. 29."
Sculpture fragments of a left arm and shoulder,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191011092346_COL_PHOTO_PLANCHES_DET_01_41_10_78376.png,Sculpture,Yellow limestone,Shoulder : 39 x 14 x 10 ; Arm : 17 x 35 x 10,"","",11,"Palmyra, B 1822",75,78277; 78278; 78279; 78280; 78281; 78376,"","Two connecting fragments of a left shoulder and a left arm. The first fragment goes from the shoulder to the upper part of the left arm, the second one goes from the forearm to the wrist. The arm is folded at elbow level. A long and folded sleeve covers the arm from the shoulder to the wrist. An armor with strips can be seen on the shoulder.","Baalshamin IV, p. 103, pl. 21."
Sculpture fragment of draped female body middle part.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191011100617_COL_PHOTO_PLANCHES_DET_01_41_12_78378.png,Sculpture,Hard limestone,20 x 18 x 14,"","",59,"Palmyra, B 1838",22,77973; 78159; 78226; 78378,"","Middle part of a female body. The fragment is broken from the chest up and from the hips down. The legs are covered with a drapery. The folds of cloth depicts the movement of the statue. At hips level, a coat is diagonally falling from the left to the right. Prominent carved folds of cloth can be seen at hips level.","Baalshamin IV, p. 91, pl. 10."
Sculpture fragment of the lower part of a draped body.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191011110216_COL_PHOTO_PLANCHES_DET_01_41_15_78381.png,Sculpture,Soft limestone,24 x 18 x 10.5,"","",60,"Palmyra, no ID",91,78156; 78223; 78381,"",Sculpture fragment of the lower part of a draped body. A small part of the right leg comes out of the lower part of a tunica. Vertical folds can be seen on the tunica that is divided into two sections by a vertical strip of tissue decorated with striated and twisted motifs. ,"Baalshamin IV, p. 106, pl. 25."
Sculpture fragment of a draped male holding a pottery.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191011120329_COL_PHOTO_PLANCHES_DET_01_41_16_78382.png,Sculpture,Hard limestone,35 x 18.5 x 12.5,"","",77,"Damas, No ID",70,78382; 79566; 79622,2nd century A.D.,"Sculpture fragment of a standing male draped figure. The fragment is broken from the neck up and from the knees down. The back of the statue is not detailed. The figure wears a folded tunica decorated with pearls motifs on its lower part and covered by a belt at hips level. A cape is attached with a pin on the right shoulder of the male figure and covers the left side of its body from the shoulder to the inferior extremity of the fragment. The legs are covered with pants decorated with vegetal motifs at thigh level. The right arm is bent against the chest and the hand holds a pottery, the left arm leans against the side of the body.","Baalshamin IV, p. 102, pl. 21 ; Collart 1961, p. 433, pl. 2."
Sculpture fragments of a standing draped male statue on a plinth,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191115160903_COL_PHOTO_PLANCHES_DET_01_19_11_78620.png,Sculpture,Soft limestone,Statue : 207 x 42 x 63 ; Plinth : 50 x 36,"","",37; 123; 124; 268; 269; 270; 279; 279a; 280; 280a; 297; 322; 323,"Palmyra, B 1866",40,77565 ; 77566 ; 77567 ; 77568 ; 77569 ; 78383; 78620 ; 78640 ; 78641 ; 78642 ; 78718,"","Sculpture fragments of a standing draped male statue on a plinth. The head is missing and the chest, the right arm, the hips, the right knee and the right ankle are damaged. The statue is larger than human scale. The figure stands on a square plinth with its feet in a slightly divergent position. The left arm is lowered and the hand holds laurel branches. The right arm is folded against the chest. The body is covered by a tunica that falls down to the calves and by a large folded coat. The folds of coat are horizontal on the upper part of the body and vertical on the lower part. The figure wears boots with laces. The back of the feet connect with a plate on which the statue's legs are supported. Large vertical folds of cloth can be seen on the back of the statue. The hole conceived to insert the head is still visible at neck level.","Baalshamin IV, p. 95, pl. 13-14; Colledge 1976, p. 90, 115, 154, 209, 239, pl. 122."
Sculpture fragment of a drapery on a pottery,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191011151445_COL_PHOTO_PLANCHES_DET_01_41_18_78384.png,Sculpture,White marble,11 x 6 x 5,"",Red paint might still be present on localized area.,69,"Palmyra, No ID",155,78384,"",Sculpture fragment of a drapery and a pottery. The folds of cloth fall on the pottery and covers its sides. The fragment is broken on all sides. ,"Baalshamin IV, p. 119, pl. 32."
Sculpture fragment of a funerary stele with a palm branch,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191011155222_COL_PHOTO_PLANCHES_DET_01_41_19_78385.png,Sculpture,Soft limestone,9.5 x 10 x 4,"","",63,"Palmyre, No ID",90,78119; 78385,"",Sculpture fragment of a funerary stele broken on all sides. Upper part of a bust broken from the neck up and from the elbow down. The bust represents a figure wearing a folded coat. A large palm branch leans agains the right shoulder of the figure.,"Baalshamin IV, p. 106, pl. 25."
Sculpture fragment of a left hand ,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191018092404_COL_PHOTO_PLANCHES_DET_01_41_20_78386.png,Sculpture,Soft limestone,17 x 9.5 x 7,"","",50,"Palmyra, No ID",60,78120 ; 78125 ; 78386,"",Sculpture fragment of a left hand broken from the wrist up. A ring can be seen on the little finger. The hand holds a drapery and the stalk of a laurel branch.,"Baalshamin IV, p. 100, pl. 19."
Sculpture fragment of a priest head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191018104226_COL_PHOTO_PLANCHES_DET_01_41_25_78391.png,Sculpture,Hard and porous limestone,16 x 12 x 6,"","",52,"Palmyra, B 1835",174,78391,"",Sculpture fragment of a priest head broken from the neck down. Both ears are missing and the limestone on the surface of the face is damaged. The head wears a cylindrical headdress. The sockets of the eyes are deeply carved into the stone and the nose and the mouth are thin. The priest has broad cheeks. The inferior part of the left ear remains and shows that the ears were folded forward. Few vegetal motifs of the capital on which the head hanged are still visible under the chin.,"Baalshamin IV, p. 123, pl. 36."
Sculpture fragment of a priest head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191018111243_COL_PHOTO_PLANCHES_DET_01_41_26_78392.png,Sculpture,Hard limestone,13 x 11.5 x 7 ,"","",82,"Palmyra, No ID",184,78392,"",Sculpture fragment of a priest head broken from the neck down. The fragment is badly damaged and no facial features of the face of the priest are preserved. Only the inferior part of a cylindrical headdress can be distinguished. ,"Baalshamin IV, p. 125, pl. 37."
Sculpture fragment of a female head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191018114530_COL_PHOTO_PLANCHES_DET_01_41_27_78393.png,Sculpture,Hard limestone,9 x 12.5 x 6,"","",67,"Palmyra, No ID",138,77928 ; 78393,2nd century A.D.,Sculpture fragment of a female head broken from the nose down. The figure wears a turban under which the hair covers the upper part of the forehead and both ears. Two semi-circular locks of hair fall down on the forehead from the middle of the turban. Both eyes are wide open. The iris and the pupils are depicted with two deep carved circles for each eye.,"Baalshamin IV, p. 115, pl. 30."
Sculpture fragment of a lion head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191018144024_COL_PHOTO_PLANCHES_DET_01_24_04_77673.png,Sculpture,Hard limestone,20 x 15 x 18,"","",182,"Palmyra, No ID",34,77673,"","Sculpture fragment of a lion head. The fragment is very damaged, only the right eye is intact under a prominent brow bone. The iris is deeply carved into the stone and a circle surrounds it. A lip and three teeth can still be seen.","Baalshamin IV, p. 93, pl. 12."
Sculpture fragment of a sword scabbard on a drapery,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025100706_COL_PHOTO_PLANCHES_DET_01_21_03_77562.png,Sculpture,Soft limestone,7 x 5 x 2,"","",193,"Palmyra, B 1926",28,77562,"",Sculpture fragment of a sword scabbard on a drapery. The fragment is broken on all sides. Two visible rings represent the fixation of the scabbard. Vertical folds of cloth are visible on the left side of the sword scabbard.  ,"Baalshamin IV, p. 92, pl. 11."
Sculpture fragment of a male right arm and chest with a folded ribbon,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025105609_COL_PHOTO_PLANCHES_DET_01_21_11_77570.png,Sculpture,Hard limestone,49 x 12 x 40,"","",215,"Palmyra, no ID",26,77570,"",Sculpture fragment of a male right arm and chest with a folded ribbon. All sides of the fragment are broken except for the left one that contains vegetal motifs.The upper part of a right arm and the right chest of a male figure can be seen on the right side of the ribbon. Only the right nipple of the figure is conserved. The male is bare-chested but wears a coat folded on his shoulders.,"Baalshamin IV, p. 91, pl. 10."
Sculpture fragment of a draped male chest,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025130335_COL_PHOTO_PLANCHES_DET_01_21_13_77572.png,Sculpture,Soft limestone,26.5 x 37 x 32,"","",220,"Palmyra, No ID",54,77572,"",Sculpture fragment of a draped male chest. The fragment is broken on all sides. Five semicircular folds of cloth can be seen in the middle of the fragment. The folds are vertical on the sides.,"Baalshamin IV, p. 99, pl. 19."
Sculpture fragment with two molded frames and a beef,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025132449_COL_PHOTO_PLANCHES_DET_01_21_15_77574.png,Sculpture,Hard limestone,14 x 26 x 20 ,"","",306,"Palmyra, No ID",128,77574,"",Sculpture fragment with two molded frames and a beef. The fragment is broken on top and on the right side. The lower part of an incense-burner of a frustoconical shape and a lying bull with a hump can be seen.,"Baalshamin IV, p. 114, pl. 29."
Sculpture fragment of a leg with a shoe and a lace,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025140207_COL_PHOTO_PLANCHES_DET_01_21_16_77575.png,Sculpture,Hard limestone,8 x 7.5 x 7.5,"","",304,"Palmyra, No ID",62,77575,"",Sculpture fragment of a leg broken from the calf down and from the heel up. A shoe with a lace can bee seen on the ankle.,"Baalshamin IV, p. 100, pl. 19."
Sculpture fragment of a right hand and a draped right forearm,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025140829_COL_PHOTO_PLANCHES_DET_01_21_17_77576.png,Sculpture,Soft limestone,9 x 21 x 6,"","",265,"Palmyra, No ID",77,77576,"",Sculpture fragment of a right hand and a draped right forearm. The fragment is broken from the elbow up and at phalanx level. A folded sleeve covers the arm to the wrist. The statue is smaller than human-size.,"Baalshamin IV, p. 103, pl. 21."
Sculpture fragment of a lion,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025143031_COL_PHOTO_PLANCHES_DET_01_21_19_78638.png,Sculpture,Hard limestone,22 x 13.5 x 10,"","",275,"Palmyra, No ID",32,78638,"","Sculpture fragment of a lion. The fragment is very damaged. The head of the animal is entirely missing, only the mane remains on the chest. It is depicted with three dense rows of curls of fur. The upper parts of the legs are also preserved.","Baalshamin IV, p. 93, pl. 12."
Sculpture fragment of a plinth with four human feet and three camels,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025151841_COL_PHOTO_PLANCHES_DET_01_21_20_77579.png,Sculpture,Soft limestone,9 x 24 x 8.5,"","",264,"Palmyra, B 1905",37,77579,"","Sculpture fragment of a plinth with camels. The fragment is broken on the top, on the left and on the right sides. Four human feet wearing sandals are still visible on the top of the plinth. Three camels are lying in the frame under the human feet. The two animals on the left are facing each other, the third one faces the right part of the plinth. Only the camel in the middle is entirely preserved. The back legs of the camel on the left and the head of the camel on the right are missing.","Baalshamin IV, p. 94, pl. 13."
Sculpture fragments of a male head,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191025153529_COL_PHOTO_PLANCHES_DET_01_21_21_77580.png,Sculpture,Soft limestone,28 x 23 x 25,"","",138 ; 239,"Palmyra, No ID",80,77580,2nd century A.D.,"Two connecting sculpture fragments of a male head. The head is broken from the neck down, the nose is very mutilated and the cheeks are scratched. The head has several rows of curly hair but no beard. The hair covers the upper half of the ears and is also depicted on the back of the head of the statue. The eyes are wide open, the eyelids are deeply incised and the iris is depicted with a circular incised line. Two curved wrinkles can be seen on the forehead. A second fragment containing the neck and a small part of the left shoulder wearing a tunica can be connected with the head.","Baalshamin IV, p. 104, pl. 23."
Sculpture fragment of a mattress with a naked figure,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101095426_COL_PHOTO_PLANCHES_DET_01_21_22_77581.png,Sculpture,Soft limestone,28 x 21 x 22,"","",305,"Palmyra, B 1914",129,77581,"",Sculpture fragment of a mattress with a naked figure. The fragment is broken on top and on the left side. A small naked figure is lying on its left side. His left arm surrounds a cornucopia and his right hand holds a palm. The mattress is very damaged.,"Baalshamin IV, p. 114, pl. 29."
Sculpture fragment of a mattress and a bull,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101100626_COL_PHOTO_PLANCHES_DET_01_21_23_77582.png,Sculpture,Hard limestone,22 x 20 x 22,"","",237,"Palmyra, B 1891",127,77582,"","Sculpture fragment of a mattress and a bull. The fragment is broken on the top, on the left and on the right sides. It depicts the inferior right corner of a bed with a mattress. The mattress is covered with a folded drapery and an incense-burner with a conical cover. The inferior part of the fragment contains two molded frames. In the smallest one, on the right, lies a bull with a hump on his neck.","Baalshamin IV, p. 113, pl. 29."
Sculpture fragment of a chariot wheel,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101102535_COL_PHOTO_PLANCHES_DET_01_21_24_77583.png,Sculpture,Soft limestone,30 x 36 x 10,"","",307,"Palmyra, No ID",24,77583,"","Sculpture fragment of a chariot wheel. The fragment is broken on all sides. Height wheel spokes are visible. On the left of the fragment, human legs and a drapery can be seen with difficulty. ","Baalshamin IV, p. 91, pl. 10."
Sculpture fragment of a male head wearing a laurel crown,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101103459_COL_PHOTO_PLANCHES_DET_01_21_25_78639.png,Sculpture,Hard limestone,21.5 x 13.5 x 10,"","",240,"Palmyra, B 1894",106,78639,2nd century A.D.,"Sculpture fragment of a male head wearing a laurel crown. The fragment is broken from the neck down and the nose, the mouth, the chin and the area above the left eye are very mutilated. The figure wears a laurel crown decorated with a six-petal rose in the front. A row of curls of hair creates a fringe of hair on the forehead that falls behind both ears. The eyes are wide open and the eyelids are deeply carved. The brow bones are protruding. The male has no facial hair and seems to be young. ","Baalshamin IV, p. 109, pl. 26."
Sculpture fragment of a head and a scorpion,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191101105813_COL_PHOTO_PLANCHES_DET_01_21_26_77585.png,Sculpture,Soft limestone,19 x 19 x 14,"","",281,"Palmyra, B 1909",10,77585,"","Sculpture fragment of a head and a scorpion. The fragment is broken on all sides. On the right side, the fragment makes a 45 degrees angle toward the front. The head is very damaged. Only the left eye and some curls of hair on the left side of the forehead are still visible. On the right, a giant scorpion with his head down can be seen. It has four rows of legs and two gigantic claws. The end of the claws are missing. Damaged evidences of a star in a circle can be seen on top of the fragment. ","Baalshamin IV, p. 87, pl. 6 ; Collart-Vicari 1969, p. 225, 227 ; Augé 1994 B, p. 751, Shadrafa 4."
